data,populacao_pessoas,leite_uht_industria,leite_uht_supermercado,preco_leite_produtor
2017-09-01,205.43113716666667,-0.07499915513475686,-0.04772073621141171,-0.07574809080869908
2017-10-01,205.54092725000004,0.06304932951326425,-0.04854654384727275,-0.004886571678302211
2017-11-01,205.65071733333335,0.020032444876934563,-0.005139183008029513,0.0006995453240854808
2017-12-01,205.7605074166667,-0.0966319945839833,-0.003712884231905522,-0.017942221063395446
2018-01-01,205.87029750000005,0.035574138706253144,-0.009545412843531276,0.03713742801583128
2018-02-01,205.9800875833334,0.12313060194449066,-0.0063199287448193475,0.05166072981490885
2018-03-01,206.08987766666675,0.11886713723508247,0.03642835661355126,0.07432067305717321
2018-04-01,206.1996677500001,0.01939528398975532,0.07138999608667307,0.08056097666673856
2018-05-01,206.30945783333345,0.0018837413003188752,0.042484611606155465,0.03254551110574308
2018-06-01,206.4192479166668,0.3206847458891585,0.17632863505754548,0.13147488130580703
2018-07-01,206.529038,-0.06712874111085876,0.09254818719382052,0.04530149395690802
2018-08-01,206.64329308333333,-0.12559699801797208,-0.042594397632420566,-0.04753658581494552
2018-09-01,206.75754816666668,-0.04971026690798841,-0.05148594452234345,-0.023809831756652633
2018-10-01,206.87180325000003,-0.07356813245050065,-0.0501781269442807,-0.05546470525485836
2018-11-01,206.98605833333335,-0.18610365112720173,-0.1346668942053566,-0.09866282829952752
2018-12-01,207.10031341666672,0.04177940909821087,-0.040509543338209886,0.03908360818675083
2019-01-01,207.21456850000007,0.11473598044438016,0.013366272055320927,0.09717817536618775
2019-02-01,207.32882358333345,-0.023247233865386074,0.014704359066928463,0.044113616285530066
2019-03-01,207.44307866666676,-0.009233674027017358,0.007889793561978609,0.0091570798762865
2019-04-01,207.55733375000008,0.06458059590648813,0.01336035170183636,0.016946742169947182
2019-05-01,207.67158883333343,0.04679631594490641,0.02851845544318743,0.006764548173606
2019-06-01,207.7858439166668,-0.07776808846066752,-0.004790455933677329,-0.08279554417634677
2019-07-01,207.900099,-0.018028924256656143,-0.011959227335178513,-0.043450350819732086
2019-08-01,208.00549816666663,0.09642686613485696,0.004688989486131501,0.01926955262251734
2019-09-01,208.11089733333333,-0.057753153133902835,0.014297304700824354,-0.006797526448054703
2019-10-01,208.2162965,-0.0339414498351609,-0.004510155477885913,-0.010468983848901547
2019-11-01,208.3216956666666,0.024300106898261897,-0.03448793045867338,0.0031078906176142396
2019-12-01,208.42709483333329,0.016404625523719907,-0.003606495594111747,0.010875263331408647
